vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
1592032_A_Hong_Kong_2671_2019	1849665_A_AbuDhabi_01_2021	2021.1.1	8.027	8	8	19	10.234	10	10	25
1592032_A_Hong_Kong_2671_2019	1852226_A_Bangkok_62_2020	2020.11.11	5.021	5	5	11	10.216	10	10	21
1592032_A_Hong_Kong_2671_2019	1858651_A_Pennsylvania_01_2021	2021.3.19	5.026	5	5	16	9.218	9	9	24
1592032_A_Hong_Kong_2671_2019	1861076_A_Laos_580_2021	2021.2.21	6.026	6	6	17	9.22	9	9	24
1592032_A_Hong_Kong_2671_2019	1869531_A_Delaware_01_2021	2021.4.16	5.026	5	5	16	9.22	9	9	24
1592032_A_Hong_Kong_2671_2019	1885447_A_Abu_Dhabi_2210622842_2021	2021.3.3	8.035	8	8	19	13.229	13	13	28
1592032_A_Hong_Kong_2671_2019	1905714_A_India_PUN_NIV323256_2021	2021.6.21	5.021	5	5	11	10.214	10	10	21
1592032_A_Hong_Kong_2671_2019	1905786_A_India_PUN_NIV312063_2021	2021.5.9	6.022	6	6	12	9.214	9	9	20
1592032_A_Hong_Kong_2671_2019	1905802_A_Nepal_Npwr_05637_2021	2021.4.8	5.027	5	5	11	13.22	13	12	24
1592032_A_Hong_Kong_2671_2019	1916915_A_Oklahoma_01_2021	2021.7.6	10.032	10	10	21	5.21	5	5	20
1592032_A_Hong_Kong_2671_2019	1916923_A_Michigan_03_2021	2021.8.18	6.021	6	6	12	9.219	9	9	20
1592032_A_Hong_Kong_2671_2019	1919553_A_YANAO_08_01V_2021	2021.8.8	7.032	7	7	12	10.223	10	10	20
1592032_A_Hong_Kong_2671_2019	1921773_A_Thailand_12_2021	2021.6.24	9.038	9	9	24	12.254	12	12	31
1592032_A_Hong_Kong_2671_2019	1922800_A_Nepal_21FL2699_2021	2021.8.11	5.026	5	5	16	9.218	9	9	24
1592032_A_Hong_Kong_2671_2019	1924350_A_Philippines_6_2021	2021.7.5	10.093	10	10	22	12.876	12	11	30
1592032_A_Hong_Kong_2671_2019	1925236_A_Michigan_05_2021	2021.9.26	8.066	8	8	19	10.237	10	10	25
1592032_A_Hong_Kong_2671_2019	1926248_A_Saint_Petersburg_RII_2415S_2021	2021.1.2	7.027	7	7	18	9.227	9	9	24
1592032_A_Hong_Kong_2671_2019	1940321_A_New_York_03_2021	2021.9.16	7.023	7	7	13	11.214	11	11	22
1592032_A_Hong_Kong_2671_2019	1954438_A_Picardie_28479_2021	2021.9.17	8.023	8	8	14	12.232	12	12	23
1592032_A_Hong_Kong_2671_2019	1967900_A_Pakistan_ICT7_2021	2021.9.16	6.023	6	6	17	10.23	10	10	25
1592032_A_Hong_Kong_2671_2019	1969592_A_Bangladesh_9019_2021	2021.9.20	5.027	5	5	11	9.216	9	9	20
1592032_A_Hong_Kong_2671_2019	EPI2415906_A_Darwin_9_2021	2021.4.17	6.021	6	6	12	10.219	10	10	21
1841681_A_Cambodia_e0826360_2020	19194107_A_Thailand_8_2022	2022.7.11	0.022	0	0	13	1.309	1	1	26
1841681_A_Cambodia_e0826360_2020	1941020_A_Florida_04_2021	2021.10.28	2.027	2	2	15	2.587	3	2	27
1841681_A_Cambodia_e0826360_2020	1952515_A_Pennsylvania_06_2021	2021.11.21	2.004	2	2	4	2.549	3	2	12
1841681_A_Cambodia_e0826360_2020	1958506_A_Khakassia_155_06V_2021	2021.11.30	3.023	3	3	16	2.577	3	2	27
1841681_A_Cambodia_e0826360_2020	1960344_A_Montana_10_2021	2021.11.29	2.019	2	2	19	2.569	3	2	31
1841681_A_Cambodia_e0826360_2020	1964326_A_California_46_2021	2021.12.19	3.003	3	3	5	2.541	3	2	7
1841681_A_Cambodia_e0826360_2020	1983154_A_Montana_02_2022	2022.1.6	4.019	4	4	17	3.577	4	3	28
1841681_A_Cambodia_e0826360_2020	1992288_A_Wyoming_09_2021	2021.12.2	2.004	2	2	4	3.547	4	3	13
1841681_A_Cambodia_e0826360_2020	2004157_A_North_Dakota_03_2022	2022.2.9	2.007	2	2	4	2.543	3	2	7
1841681_A_Cambodia_e0826360_2020	2007488_A_New_Mexico_07_2022	2022.2.14	2.019	2	2	15	2.561	3	2	27
1841681_A_Cambodia_e0826360_2020	2019560_A_Novosibirsk_RII_MH60652S_2022	2022.1.10	2.047	2	2	6	2.716	3	2	14
1841681_A_Cambodia_e0826360_2020	2042591_A_Picardie_21593_2022	2022.3.21	2.019	2	2	9	1.603	2	1	21
1841681_A_Cambodia_e0826360_2020	2042752_A_Lorraine_23758_2022	2022.3.26	2.029	2	2	15	1.615	2	1	26
1841681_A_Cambodia_e0826360_2020	2042994_A_Lorraine_28541_2022	2022.4.9	3.01	3	3	7	4.578	5	4	16
1841681_A_Cambodia_e0826360_2020	2043548_A_Berlin_23_2022	2022.3.17	2.005	2	2	4	1.575	2	1	6
1841681_A_Cambodia_e0826360_2020	2046104_A_Krasnodar_Krai_183_10V_2021	2021.12.17	0.017	0	0	17	0.293	0	0	29
1841681_A_Cambodia_e0826360_2020	2063583_A_Idaho_25_2022	2022.5.1	0.008	0	0	4	1.275	1	1	13
1841681_A_Cambodia_e0826360_2020	2077428_A_Berlin_61_2022	2022.4.25	6.048	6	6	17	12.265	12	12	27
1841681_A_Cambodia_e0826360_2020	2127871_A_Michigan_35_2022	2022.5.18	6.048	6	6	10	11.27	11	11	21
1841681_A_Cambodia_e0826360_2020	2136215_A_Abu_Dhabi_1812537_2022	2022.6.30	7.049	7	7	18	11.266	11	11	26
1841681_A_Cambodia_e0826360_2020	2176957_A_Florida_70_2022	2022.8.8	6.046	6	6	10	11.268	11	11	21
1841681_A_Cambodia_e0826360_2020	2194875_A_Maldives_875_2022	2022.9.9	7.046	7	7	23	7.242	7	7	33
1841681_A_Cambodia_e0826360_2020	2233523_A_Ayutthaya_NIC_P2289_2022	2022.7.18	0.019	0	0	17	1.286	1	1	30
1841681_A_Cambodia_e0826360_2020	2325220_A_Finland_298_2022	2022.9.4	7.035	7	7	23	7.221	7	7	29
1841681_A_Cambodia_e0826360_2020	2500106_A_ABUDHABI_UAE_1112067_2022	2022.4.25	7.034	7	7	18	8.224	8	8	23
1841681_A_Cambodia_e0826360_2020	2503987_A_British_Columbia_124_2022	2022.6.19	6.352	7	5	18	9.678	10	9	34
EPI2415906_A_Darwin_9_2021	19296516_A_Croatia_10136RV_2023	2023.12.4	9.041	9	9	11	15.268	15	15	19
EPI2415906_A_Darwin_9_2021	19377008_A_Arica_52920_2024	2024.7.1	9.044	9	9	13	15.27	15	15	19
EPI2415906_A_Darwin_9_2021	19355069_A_Chiang_Rai_1932_2024	2024.3.27	11.057	11	11	22	18.292	18	18	33
EPI2415906_A_Darwin_9_2021	19378437_A_Denmark_2208_2024	2024.6.29	10.058	10	10	21	15.288	15	15	30
EPI2415906_A_Darwin_9_2021	19522825_A_Denmark_2281_2024	2024.8.26	12.085	12	12	28	19.348	19	19	41
EPI2415906_A_Darwin_9_2021	19455563_A_England_2481021_2024	2024.6.4	11.047	11	11	22	15.272	15	15	30
EPI2415906_A_Darwin_9_2021	19539069_A_Ghana_1122_2024	2024.7.24	9.047	9	9	20	15.276	15	15	30
EPI2415906_A_Darwin_9_2021	19298604_A_Ghana_3370_2024	2024.6.6	9.043	9	9	15	17.282	17	17	28
EPI2415906_A_Darwin_9_2021	19377137_A_Guyana_10084_2024	2024.5.28	13.057	13	13	24	15.288	15	15	30
EPI2415906_A_Darwin_9_2021	19274403_A_Hungary_264_2024	2024.3.26	10.057	10	10	21	17.286	17	17	32
EPI2415906_A_Darwin_9_2021	19355364_A_Kenya_139_2024	2024.5.23	10.061	10	10	25	15.288	15	15	34
EPI2415906_A_Darwin_9_2021	19388144_A_Saudi_Arabia_PHL_FS8301_2024	2024.7.6	10.041	10	10	12	14.27	14	14	18
EPI2415906_A_Darwin_9_2021	19052814_A_Serbia_514284_2024	2024.3.8	13.048	13	13	15	17.276	17	17	21
EPI2415906_A_Darwin_9_2021	19539108_A_Wellington_85_2024	2024.8.14	11.058	11	11	22	16.294	16	16	31
EPI2415906_A_Darwin_9_2021	19208620_A_Wisconsin_80_2024	2024.5.25	9.055	9	9	20	14.282	14	14	29
EPI2415906_A_Darwin_9_2021	19642627_A_Jeju_4080_2024	2024.9.23	10.041	10	10	12	16.27	16	16	20
EPI2415906_A_Darwin_9_2021	19632815_A_Jeonbuk_3813_2024	2024.3.11	10.057	10	10	21	15.284	15	15	30
EPI2415906_A_Darwin_9_2021	19632822_A_Seoul_3837_2024	2024.3.18	9.041	9	9	11	14.267	14	14	18
EPI2415906_A_Darwin_9_2021	2206316_A_Rogerstone_2168_2022	2022.10.10	7.03	7	7	18	8.223	8	8	23
EPI2415906_A_Darwin_9_2021	2208308_A_Lourdes_53101_2022	2022.10.8	7.053	7	7	18	13.278	13	13	28
EPI2415906_A_Darwin_9_2021	2252381_A_Maine_07_2022	2022.10.27	7.054	7	7	23	14.292	14	14	36
EPI2415906_A_Darwin_9_2021	2253452_A_Kansas_25_2022	2022.10.19	7.036	7	7	18	12.229	12	12	27
EPI2415906_A_Darwin_9_2021	2254250_A_Centre_56613_2022	2022.11.23	7.053	7	7	18	13.278	13	13	28
EPI2415906_A_Darwin_9_2021	2257357_A_Austria_MUW1572306_2022	2022.11.30	9.053	9	9	20	15.285	15	15	30
EPI2415906_A_Darwin_9_2021	2283189_A_Denmark_3146_2022	2022.11.10	7.054	7	7	23	13.284	13	13	35
EPI2415906_A_Darwin_9_2021	2367511_A_Connecticut_04_2023	2023.1.4	7.058	7	7	23	13.289	13	13	35
EPI2415906_A_Darwin_9_2021	2385451_A_Oman_8557_2022	2022.12.4	4.026	4	3	17	3.213	3	2	28
EPI2415906_A_Darwin_9_2021	2424342_A_Baden_Wuerttemberg_144_2022	2022.12.1	9.044	9	9	20	15.267	15	15	30
EPI2415906_A_Darwin_9_2021	2424895_A_Sachsen_Anhalt_3_2023	2023.1.1	8.053	8	8	19	14.28	14	14	29
EPI2415906_A_Darwin_9_2021	2441868_A_Minnesota_08_2023	2023.1.11	7.053	7	7	18	13.294	13	13	28
EPI2415906_A_Darwin_9_2021	2467517_A_HaidianCDC_12962_2023	2023.3.2	2.011	2	2	5	2.204	2	2	14
EPI2415906_A_Darwin_9_2021	2498550_A_California_32_2023	2023.1.5	8.054	8	8	24	14.285	14	14	36
EPI2415906_A_Darwin_9_2021	2498622_A_Kansas_01_2023	2023.2.26	7.053	7	7	18	13.28	13	13	28
EPI2415906_A_Darwin_9_2021	2534759_A_Minnesota_18_2023	2023.2.22	7.047	7	7	18	12.289	12	12	27
EPI2415906_A_Darwin_9_2021	2539626_A_Nordrhein_Westfalen_128_2022	2022.12.20	3.031	3	3	16	5.621	6	5	30
EPI2415906_A_Darwin_9_2021	2571528_A_Bhutan_001_2022	2022.11.21	2.035	2	2	15	5.264	5	5	30
EPI2415906_A_Darwin_9_2021	2587133_A_Berlin_265_2022	2022.12.19	9.053	9	9	20	13.278	13	13	28
EPI2415906_A_Darwin_9_2021	2599401_A_Lebanon_2787_2023	2023.3.28	10.055	10	10	21	14.288	14	14	29
EPI2415906_A_Darwin_9_2021	2689682_A_Costa_Rica_8476_2023	2023.6.26	2.011	2	2	5	3.201	3	3	15
EPI2415906_A_Darwin_9_2021	2716167_A_Kentucky_06_2023	2023.7.18	1.017	1	1	14	2.178	2	2	27
EPI2415906_A_Darwin_9_2021	2716351_A_Guatemala_378_2023	2023.4.22	8.042	8	8	14	12.269	12	12	23
EPI2415906_A_Darwin_9_2021	2732731_A_Bangladesh_9003_2023	2023.5.8	2.023	2	2	15	3.26	3	3	28
EPI2415906_A_Darwin_9_2021	2736750_A_Finland_407_2023	2023.8.11	8.056	8	8	19	12.271	12	11	27
EPI2415906_A_Darwin_9_2021	2758811_A_Catalonia_NSVH102158148_2023	2023.9.6	1.015	1	1	4	2.196	2	2	14
EPI2415906_A_Darwin_9_2021	EPI2800450_A_Phra_Nakhon_Si_Ayutthaya_P4330_2023	2023.10.2	2.017	2	2	15	2.178	2	2	27
EPI2415906_A_Darwin_9_2021	EPI2817864_A_Nakhon_Phanom_P4970_2023	2023.11.3	9.045	9	9	15	15.277	15	15	26
EPI2415906_A_Darwin_9_2021	EPI2819091_A_Nebraska_13_2023	2023.11.15	10.057	10	10	21	16.284	16	16	31
EPI2415906_A_Darwin_9_2021	EPI2845383_A_Saint_Petersburg_RII_169_2023	2023.10.31	9.058	9	9	25	14.293	14	14	36
EPI2415906_A_Darwin_9_2021	EPI2901414_A_California_118_2023	2023.11.29	10.05	10	10	21	15.284	15	15	30
EPI2415906_A_Darwin_9_2021	EPI2926182_A_Hong_Kong_3084_2023	2023.12.1	10.041	10	10	12	15.268	15	15	19
EPI2415906_A_Darwin_9_2021	EPI2970652_A_Saratov_RII_3_2023	2023.12.22	9.057	9	9	20	17.282	17	17	32
EPI2415906_A_Darwin_9_2021	EPI3055327_A_New_Hampshire_02_2024	2024.1.4	3.017	3	3	6	4.199	4	4	16
EPI2415906_A_Darwin_9_2021	EPI3089330_A_Penarth_6936_2024	2024.1.22	13.075	13	13	29	16.329	16	16	38
EPI2415906_A_Darwin_9_2021	EPI3095110_A_Samara_22_2023	2023.12.22	9.056	9	9	24	16.285	16	16	35
EPI2415906_A_Darwin_9_2021	EPI3133740_A_Idaho_21_2024	2024.2.9	12.051	12	12	14	16.275	16	16	20
EPI2415906_A_Darwin_9_2021	EPI3134187_A_Florida_06_2024	2024.1.8	2.023	2	2	15	4.185	4	4	29
EPI2415906_A_Darwin_9_2021	EPI3186602_A_Nevada_104_2024	2024.3.1	9.055	9	9	20	15.286	15	15	30
EPI2415906_A_Darwin_9_2021	EPI3186714_A_Washington_22_2024	2024.2.4	1.013	1	1	4	2.206	2	2	14
19194107_A_Thailand_8_2022	19628172_A_Colorado_228_2024	2024.11.10	8.053	8	8	19	15.277	15	15	30
19194107_A_Thailand_8_2022	19826182_A_South_Africa_R01135_2025	2025.1.28	11.06	11	11	22	17.318	17	17	32
19194107_A_Thailand_8_2022	19822399_A_Incheon_694_2025	2025.2.18	8.052	8	8	14	17.277	17	17	28
19194107_A_Thailand_8_2022	19794607_A_Jeonnam_359_2025	2025.1.13	8.06	8	8	19	16.287	16	16	31
19194107_A_Thailand_8_2022	20080759_A_Vietnam_5034_2025	2025.2.15	8.047	8	8	12	15.276	15	15	19
19194107_A_Thailand_8_2022	19884376_A_Canarias_1589_2025	2025.1.1	8.06	8	8	19	17.291	17	17	32
19194107_A_Thailand_8_2022	19800540_A_Denmark_860_2025	2025.2.3	10.264	10	10	28	18.536	18	18	40
19194107_A_Thailand_8_2022	19682309_A_Netherlands_10048_2025	2025.1.2	8.048	8	8	14	16.281	16	16	27
19194107_A_Thailand_8_2022	19874950_A_Denmark_2460_2025	2025.3.24	8.049	8	8	12	16.281	16	16	20
19194107_A_Thailand_8_2022	20073250_A_Ontario_1098_2025	2025.4.1	9.039	9	7	15	18.295	18	16	29
19194107_A_Thailand_8_2022	19897514_A_South_Africa_PATH-CERI-C068465_2025	2025.5.3	9.064	9	9	24	16.297	16	16	33
19194107_A_Thailand_8_2022	20261922_A_South_Africa_8325_2025	2025.8.28	10.042	10	10	12	17.274	17	17	21
19296516_A_Croatia_10136RV_2023	20284405_A_Bahrain_1648_2025	2025.10.19	1.549	2	1	6	5.105	6	4	12
19296516_A_Croatia_10136RV_2023	20284485_A_Bahrain_2180_2025	2025.10.23	1.597	2	1	26	5.162	6	4	35
19296516_A_Croatia_10136RV_2023	20284519_A_Catalonia_NSVH102734071_2025	2025.11.28	2.549	3	2	7	5.105	6	4	12
19296516_A_Croatia_10136RV_2023	20269338_A_Denmark_3567_2025	2025.11.10	1.597	2	1	26	6.162	7	5	36
19296516_A_Croatia_10136RV_2023	20269279_A_Denmark_3542_2025	2025.11.7	2.664	3	2	29	5.242	6	4	35
19296516_A_Croatia_10136RV_2023	20221173_A_Cardiff_0040_2025	2025.10.2	1.674	2	1	31	6.262	7	5	43
19296516_A_Croatia_10136RV_2023	20275639_A_Colorado_ISC-1470_2025	2025.10.28	1.65	2	1	21	5.23	6	4	31
19296516_A_Croatia_10136RV_2023	20275637_A_Colorado_ISC-1507_2025	2025.11.14	1.549	2	1	6	5.105	6	4	12
19296516_A_Croatia_10136RV_2023	20275348_A_Florida_32_2025	2025.10.29	1.663	2	1	31	5.249	6	4	42
19296516_A_Croatia_10136RV_2023	20275683_A_New_York_NIRC-IS-1504_2025	2025.11.13	2.674	3	2	32	5.262	6	4	42
19296516_A_Croatia_10136RV_2023	20262326_A_Colorado_ISC-1494_2025	2025.11.11	1.674	2	1	31	5.262	6	4	42
19296516_A_Croatia_10136RV_2023	20261837_A_Alaska_82_2025	2025.10.20	1.586	2	1	15	6.149	7	5	23
19296516_A_Croatia_10136RV_2023	20278399_A_Catalonia_NSVH171794172_2025	2025.12.3	1.674	2	1	31	5.262	6	4	42
19296516_A_Croatia_10136RV_2023	20261953_A_Wisconsin_152_2025	2025.11.3	1.675	2	1	31	6.264	7	5	43
19296516_A_Croatia_10136RV_2023	20262725_A_Catalonia_NSVH161522720_2025	2025.11.19	2.676	3	2	32	7.262	8	6	44
19296516_A_Croatia_10136RV_2023	20261957_A_Minnesota_109_2025	2025.10.25	1.586	2	1	15	5.149	6	4	22
19296516_A_Croatia_10136RV_2023	20279652_A_Lisboa_706_2025	2025.11.2	2.549	3	2	7	6.107	7	5	13
19296516_A_Croatia_10136RV_2023	20280416_A_Severomorsk_RII-MH264749S_2025	2025.11.18	1.663	2	1	31	6.25	7	5	43
19296516_A_Croatia_10136RV_2023	20280435_A_Saint-Petersburg_RII-MH264958S_2025	2025.11.26	1.663	2	1	31	5.249	6	4	42
19296516_A_Croatia_10136RV_2023	20280566_A_Saint-Petersburg_RII-25-0699S_2025	2025.11.17	1.586	2	1	15	5.149	6	4	22
19296516_A_Croatia_10136RV_2023	20281628_A_Saskatchewan_SKFLU469190_2025	2025.11.20	3.659	4	3	28	5.234	6	4	35
EPI103320_A_Moscow_10_1999	CY000024_A_New_York_30_2003	2003.12.2	5.343	5	5	11	7.572	7	6	17
EPI103320_A_Moscow_10_1999	CY000040_A_New_York_33_2004	2004.1.9	5.345	5	5	11	7.576	7	6	13
EPI103320_A_Moscow_10_1999	CY000056_A_New_York_35_2003	2003.12.4	5.344	5	5	11	7.579	7	6	18
EPI103320_A_Moscow_10_1999	CY000104_A_New_York_54_2003	2003.12.10	5.343	5	5	11	7.568	7	6	13
EPI103320_A_Moscow_10_1999	CY000144_A_New_York_26_2003	2003.12.2	5.347	5	5	11	9.57	9	8	17
EPI103320_A_Moscow_10_1999	CY000216_A_New_York_91_2002	2002.1.17	4.345	4	4	10	11.48	11	10	19
EPI103320_A_Moscow_10_1999	CY000272_A_New_York_53_2003	2003.12.11	6.345	6	6	12	9.57	9	8	17
EPI103320_A_Moscow_10_1999	CY000352_A_New_York_15_2003	2003.11.12	6.345	6	6	12	9.57	9	8	17
EPI103320_A_Moscow_10_1999	CY000512_A_New_York_4_2003	2003.12.8	7.343	7	7	13	8.57	8	7	16
EPI103320_A_Moscow_10_1999	CY000552_A_New_York_115_2002	2002.2.7	4.347	4	4	10	8.474	8	7	16
EPI103320_A_Moscow_10_1999	CY000768_A_New_York_10_2004	2004.1.30	5.345	5	5	11	7.576	7	6	15
EPI103320_A_Moscow_10_1999	CY000872_A_New_York_193_2003	2003.2.19	8.153	7	7	15	12.578	12	11	20
EPI103320_A_Moscow_10_1999	CY000908_A_New_York_13_2003	2003.11.12	5.345	5	5	11	7.572	7	6	15
EPI103320_A_Moscow_10_1999	CY001036_A_New_York_6_2004	2004.1.6	5.343	5	5	11	7.574	7	6	15
EPI103320_A_Moscow_10_1999	CY001095_A_New_York_24_2003	2003.12.1	6.345	6	6	12	9.57	9	8	17
EPI103320_A_Moscow_10_1999	CY001196_A_New_York_18_2003	2003.12.1	5.345	5	5	11	7.57	7	6	15
EPI103320_A_Moscow_10_1999	CY001300_A_New_York_37_2003	2003.12.4	5.347	5	5	11	7.572	7	6	15
EPI103320_A_Moscow_10_1999	CY001559_A_New_York_215_2003	2003.4.22	7.356	7	7	13	13.594	13	12	21
EPI103320_A_Moscow_10_1999	CY002335_A_New_York_77_2001	2001.12.26	4.345	4	4	10	9.472	9	8	17
EPI103320_A_Moscow_10_1999	CY002351_A_New_York_272_2003	2003.11.28	5.345	5	5	11	7.57	7	6	15
EPI103320_A_Moscow_10_1999	CY003287_A_New_York_438_2000	2000.1.18	4.347	4	3	8	4.298	3	3	13
EPI103320_A_Moscow_10_1999	CY006386_A_New_York_467_2004	2004.9.17	0.335	0	0	3	6.119	5	5	13
EPI103320_A_Moscow_10_1999	CY009267_A_New_York_499_2004	2004.1.15	5.345	5	5	11	7.576	7	6	17
EPI103320_A_Moscow_10_1999	CY013812_A_New_York_C4_2002	2002.2.1	5.343	5	5	11	8.476	8	7	16
EPI103320_A_Moscow_10_1999	CY032968_A_Yucatan_844_2003	2003.3.19	0.335	0	0	3	6.113	5	5	13
EPI103320_A_Moscow_10_1999	CY038574_A_Hong_Kong_HKU2_2004	2004.2.13	5.347	5	5	11	8.57	8	7	14
EPI103320_A_Moscow_10_1999	CY038614_A_Hong_Kong_HKU19_2004	2004.6.1	0.335	0	0	3	6.113	5	5	13
EPI103320_A_Moscow_10_1999	CY038622_A_Hong_Kong_HKU20_2004	2004.6.15	0.335	0	0	3	5.119	4	4	12
EPI103320_A_Moscow_10_1999	CY038638_A_Hong_Kong_HKU29_2004	2004.7.21	2.339	2	2	5	6.121	5	5	13
EPI103320_A_Moscow_10_1999	CY038646_A_Hong_Kong_HKU31_2004	2004.7.30	1.336	1	1	4	6.115	5	5	13
EPI103320_A_Moscow_10_1999	CY038654_A_Hong_Kong_HKU34_2004	2004.8.18	1.335	1	1	4	6.131	5	5	13
EPI103320_A_Moscow_10_1999	CY038950_A_Hong_Kong_HKU4_2004	2004.3.1	4.341	4	4	7	6.128	5	5	13
EPI103320_A_Moscow_10_1999	CY038958_A_Hong_Kong_HKU6_2004	2004.3.6	0.335	0	0	3	5.113	4	4	12
EPI103320_A_Moscow_10_1999	CY038990_A_Hong_Kong_HKU14_2004	2004.4.16	1.337	1	1	4	7.119	6	6	14
EPI103320_A_Moscow_10_1999	CY038998_A_Hong_Kong_HKU15_2004	2004.4.23	0.337	0	0	3	5.12	4	4	12
EPI103320_A_Moscow_10_1999	CY039014_A_Hong_Kong_HKU21_2004	2004.6.19	0.337	0	0	3	5.117	4	4	12
EPI103320_A_Moscow_10_1999	CY039030_A_Hong_Kong_HKU25_2004	2004.7.7	0.337	0	0	3	5.118	4	4	12
EPI103320_A_Moscow_10_1999	CY039038_A_Hong_Kong_HKU30_2004	2004.7.22	0.336	0	0	3	5.114	4	4	12
EPI103320_A_Moscow_10_1999	CY039166_A_Hong_Kong_HKU5_2004	2004.3.4	7.352	7	7	13	9.58	9	8	19
EPI103320_A_Moscow_10_1999	CY039174_A_Hong_Kong_HKU24_2004	2004.7.5	1.335	1	1	4	5.117	4	4	12
EPI103320_A_Moscow_10_1999	CY039494_A_Hong_Kong_HKU1_2004	2004.2.10	2.341	2	2	5	5.115	4	4	12
EPI103320_A_Moscow_10_1999	CY039502_A_Hong_Kong_HKU32_2004	2004.8.2	0.335	0	0	3	5.117	4	4	12
EPI103320_A_Moscow_10_1999	CY040321_A_Hong_Kong_HKU38_2004	2004.9.23	3.343	3	3	6	6.129	5	5	13
EPI103320_A_Moscow_10_1999	CY043751_A_Hong_Kong_HKU28_2004	2004.7.17	2.339	2	2	5	6.121	5	5	13
EPI103320_A_Moscow_10_1999	CY088027_A_England_425_2003	2003.10.29	6.345	6	6	12	7.574	7	6	15
EPI103320_A_Moscow_10_1999	CY088035_A_England_438_2003	2003.11.12	5.347	5	5	11	8.478	8	7	18
EPI103320_A_Moscow_10_1999	CY088115_A_England_467_2003	2003.11.6	6.345	6	6	12	7.574	7	6	15
EPI103320_A_Moscow_10_1999	CY088131_A_Scotland_78_2003	2003.11.7	6.345	6	6	12	8.574	8	7	16
EPI103320_A_Moscow_10_1999	CY088139_A_Scotland_79_2003	2003.11.8	5.347	5	5	11	8.476	8	7	16
EPI103320_A_Moscow_10_1999	CY088187_A_England_944_2003	2003.11.17	6.345	6	6	12	7.574	7	6	15
