vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
1841681_A_Cambodia_e0826360_2020	2503987_A_British_Columbia_124_2022	2022.6.19	2.004	2	2	4	4.851	4	4	39
EPI2415906_A_Darwin_9_2021	19296516_A_Croatia_10136RV_2023	2023.12.4	4.008	4	4	6	13.509	13	13	38
EPI2415906_A_Darwin_9_2021	19377008_A_Arica_52920_2024	2024.7.1	4.014	4	4	10	14.517	14	14	43
EPI2415906_A_Darwin_9_2021	19355069_A_Chiang_Rai_1932_2024	2024.3.27	4.01	4	4	6	14.518	14	14	39
EPI2415906_A_Darwin_9_2021	19378437_A_Denmark_2208_2024	2024.6.29	6.008	6	6	8	14.501	14	14	41
EPI2415906_A_Darwin_9_2021	19522825_A_Denmark_2281_2024	2024.8.26	4.008	4	4	6	14.521	14	14	47
EPI2415906_A_Darwin_9_2021	19455563_A_England_2481021_2024	2024.6.4	4.008	4	4	6	15.493	15	15	38
EPI2415906_A_Darwin_9_2021	19539069_A_Ghana_1122_2024	2024.7.24	5.014	5	5	11	13.523	13	13	42
EPI2415906_A_Darwin_9_2021	19298604_A_Ghana_3370_2024	2024.6.6	4.014	4	4	10	14.513	14	14	39
EPI2415906_A_Darwin_9_2021	19377137_A_Guyana_10084_2024	2024.5.28	4.008	4	4	6	16.507	16	16	39
EPI2415906_A_Darwin_9_2021	19274403_A_Hungary_264_2024	2024.3.26	4.014	4	4	10	14.523	14	14	43
EPI2415906_A_Darwin_9_2021	19355364_A_Kenya_139_2024	2024.5.23	4.008	4	4	6	14.523	14	14	37
EPI2415906_A_Darwin_9_2021	19388144_A_Saudi_Arabia_PHL_FS8301_2024	2024.7.6	4.014	4	4	10	13.523	13	13	42
EPI2415906_A_Darwin_9_2021	19052814_A_Serbia_514284_2024	2024.3.8	4.008	4	4	6	18.502	18	18	36
EPI2415906_A_Darwin_9_2021	19539108_A_Wellington_85_2024	2024.8.14	6.008	6	6	8	15.505	15	15	38
EPI2415906_A_Darwin_9_2021	19208620_A_Wisconsin_80_2024	2024.5.25	4.012	4	4	10	14.47	14	14	43
EPI2415906_A_Darwin_9_2021	19642627_A_Jeju_4080_2024	2024.9.23	5.014	5	5	11	14.523	14	14	43
EPI2415906_A_Darwin_9_2021	19632815_A_Jeonbuk_3813_2024	2024.3.11	6.008	6	6	8	14.501	14	14	42
EPI2415906_A_Darwin_9_2021	19632822_A_Seoul_3837_2024	2024.3.18	4.008	4	4	6	14.513	14	14	37
EPI2415906_A_Darwin_9_2021	2206316_A_Rogerstone_2168_2022	2022.10.10	0.742	1	0	2	6.085	6	6	30
EPI2415906_A_Darwin_9_2021	2208308_A_Lourdes_53101_2022	2022.10.8	4.009	4	4	6	10.456	10	10	33
EPI2415906_A_Darwin_9_2021	2252381_A_Maine_07_2022	2022.10.27	5.014	5	5	7	12.453	12	12	30
EPI2415906_A_Darwin_9_2021	2253452_A_Kansas_25_2022	2022.10.19	0.324	0	0	2	3.171	3	3	39
EPI2415906_A_Darwin_9_2021	2254250_A_Centre_56613_2022	2022.11.23	4.008	4	4	6	10.441	10	10	28
EPI2415906_A_Darwin_9_2021	2257357_A_Austria_MUW1572306_2022	2022.11.30	4.009	4	4	6	14.502	14	14	40
EPI2415906_A_Darwin_9_2021	2283189_A_Denmark_3146_2022	2022.11.10	4.008	4	4	6	10.456	10	10	35
EPI2415906_A_Darwin_9_2021	2367511_A_Connecticut_04_2023	2023.1.4	4.01	4	4	6	12.459	12	12	37
EPI2415906_A_Darwin_9_2021	2385451_A_Oman_8557_2022	2022.12.4	0.149	0	0	4	1.183	1	1	40
EPI2415906_A_Darwin_9_2021	2424342_A_Baden_Wuerttemberg_144_2022	2022.12.1	5.006	5	5	7	12.421	12	12	28
EPI2415906_A_Darwin_9_2021	2424895_A_Sachsen_Anhalt_3_2023	2023.1.1	4.014	4	4	10	11.462	11	11	38
EPI2415906_A_Darwin_9_2021	2441868_A_Minnesota_08_2023	2023.1.11	5.02	5	5	11	14.483	14	14	47
EPI2415906_A_Darwin_9_2021	2467517_A_HaidianCDC_12962_2023	2023.3.2	1.332	1	1	9	2.423	2	2	45
EPI2415906_A_Darwin_9_2021	2498550_A_California_32_2023	2023.1.5	6.008	6	6	8	12.466	12	12	37
EPI2415906_A_Darwin_9_2021	2498622_A_Kansas_01_2023	2023.2.26	4.008	4	4	6	10.454	10	10	33
EPI2415906_A_Darwin_9_2021	2534759_A_Minnesota_18_2023	2023.2.22	5.014	5	5	7	18.467	18	18	43
EPI2415906_A_Darwin_9_2021	2539626_A_Nordrhein_Westfalen_128_2022	2022.12.20	1.745	2	1	4	3.089	3	3	27
EPI2415906_A_Darwin_9_2021	2571528_A_Bhutan_001_2022	2022.11.21	1.166	1	1	3	5.175	5	5	29
EPI2415906_A_Darwin_9_2021	2587133_A_Berlin_265_2022	2022.12.19	4.009	4	4	6	11.457	11	11	37
EPI2415906_A_Darwin_9_2021	2599401_A_Lebanon_2787_2023	2023.3.28	5.014	5	5	11	10.597	10	10	39
EPI2415906_A_Darwin_9_2021	2689682_A_Costa_Rica_8476_2023	2023.6.26	2.322	2	2	6	3.416	3	3	42
EPI2415906_A_Darwin_9_2021	2716167_A_Kentucky_06_2023	2023.7.18	2.303	2	2	4	2.178	2	2	15
EPI2415906_A_Darwin_9_2021	2716351_A_Guatemala_378_2023	2023.4.22	4.008	4	4	6	13.597	13	13	46
EPI2415906_A_Darwin_9_2021	2732731_A_Bangladesh_9003_2023	2023.5.8	1.314	1	1	5	1.289	1	1	39
EPI2415906_A_Darwin_9_2021	2736750_A_Finland_407_2023	2023.8.11	2.034	2	2	8	18.515	18	17	47
EPI2415906_A_Darwin_9_2021	2758811_A_Catalonia_NSVH102158148_2023	2023.9.6	1.301	1	1	3	1.122	1	1	14
EPI2415906_A_Darwin_9_2021	EPI2800450_A_Phra_Nakhon_Si_Ayutthaya_P4330_2023	2023.10.2	1.322	1	1	3	4.396	4	4	36
EPI2415906_A_Darwin_9_2021	EPI2817864_A_Nakhon_Phanom_P4970_2023	2023.11.3	4.012	4	4	6	12.509	12	12	39
EPI2415906_A_Darwin_9_2021	EPI2819091_A_Nebraska_13_2023	2023.11.15	4.016	4	4	10	13.513	13	13	42
EPI2415906_A_Darwin_9_2021	EPI2845383_A_Saint_Petersburg_RII_169_2023	2023.10.31	5.008	5	5	7	12.511	12	12	39
EPI2415906_A_Darwin_9_2021	EPI2901414_A_California_118_2023	2023.11.29	4.014	4	4	10	12.519	12	12	41
EPI2415906_A_Darwin_9_2021	EPI2926182_A_Hong_Kong_3084_2023	2023.12.1	4.01	4	4	6	13.507	13	13	40
EPI2415906_A_Darwin_9_2021	EPI2970652_A_Saratov_RII_3_2023	2023.12.22	4.008	4	4	6	13.509	13	13	38
EPI2415906_A_Darwin_9_2021	EPI3055327_A_New_Hampshire_02_2024	2024.1.4	1.314	1	1	5	1.297	1	1	39
EPI2415906_A_Darwin_9_2021	EPI3089330_A_Penarth_6936_2024	2024.1.22	4.01	4	4	6	13.499	13	13	40
EPI2415906_A_Darwin_9_2021	EPI3095110_A_Samara_22_2023	2023.12.22	4.008	4	4	6	14.493	14	14	41
EPI2415906_A_Darwin_9_2021	EPI3133740_A_Idaho_21_2024	2024.2.9	5.012	5	5	7	15.53	15	15	42
EPI2415906_A_Darwin_9_2021	EPI3134187_A_Florida_06_2024	2024.1.8	1.313	1	1	5	2.266	2	2	41
EPI2415906_A_Darwin_9_2021	EPI3186602_A_Nevada_104_2024	2024.3.1	4.008	4	4	6	13.574	13	13	38
EPI2415906_A_Darwin_9_2021	EPI3186714_A_Washington_22_2024	2024.2.4	1.329	1	1	7	2.415	2	2	42
19194107_A_Thailand_8_2022	19628172_A_Colorado_228_2024	2024.11.10	7.018	7	7	13	17.619	17	17	46
19194107_A_Thailand_8_2022	19826182_A_South_Africa_R01135_2025	2025.1.28	6.012	6	6	8	15.615	15	15	42
19194107_A_Thailand_8_2022	19822399_A_Incheon_694_2025	2025.2.18	7.016	7	7	13	16.623	16	16	45
19194107_A_Thailand_8_2022	19794607_A_Jeonnam_359_2025	2025.1.13	8.01	8	8	10	15.603	15	15	40
19194107_A_Thailand_8_2022	20080759_A_Vietnam_5034_2025	2025.2.15	8.014	8	8	10	17.641	17	17	42
19194107_A_Thailand_8_2022	19884376_A_Canarias_1589_2025	2025.1.1	7.014	7	7	9	15.618	15	15	40
19194107_A_Thailand_8_2022	19800540_A_Denmark_860_2025	2025.2.3	7.01	7	7	9	16.627	16	16	40
19194107_A_Thailand_8_2022	19682309_A_Netherlands_10048_2025	2025.1.2	7.012	7	7	9	17.623	17	17	44
19194107_A_Thailand_8_2022	19874950_A_Denmark_2460_2025	2025.3.24	6.012	6	6	8	17.609	17	17	42
19194107_A_Thailand_8_2022	20073250_A_Ontario_1098_2025	2025.4.1	6.012	6	6	8	18.621	18	18	45
19194107_A_Thailand_8_2022	19897514_A_South_Africa_PATH-CERI-C068465_2025	2025.5.3	9.015	9	9	11	16.623	16	16	43
19194107_A_Thailand_8_2022	20261922_A_South_Africa_8325_2025	2025.8.28	8.012	8	8	10	17.622	17	17	44
19296516_A_Croatia_10136RV_2023	20284405_A_Bahrain_1648_2025	2025.10.19	1.003	1	1	2	2.696	3	2	7
19296516_A_Croatia_10136RV_2023	20284485_A_Bahrain_2180_2025	2025.10.23	1.028	1	1	9	2.784	3	2	36
19296516_A_Croatia_10136RV_2023	20284519_A_Catalonia_NSVH102734071_2025	2025.11.28	1.003	1	1	2	4.692	5	4	7
19296516_A_Croatia_10136RV_2023	20269338_A_Denmark_3567_2025	2025.11.10	1.011	1	1	7	2.716	3	2	23
19296516_A_Croatia_10136RV_2023	20269279_A_Denmark_3542_2025	2025.11.7	1.028	1	1	9	2.786	3	2	36
19296516_A_Croatia_10136RV_2023	20221173_A_Cardiff_0040_2025	2025.10.2	2.005	2	2	4	4.694	5	4	7
19296516_A_Croatia_10136RV_2023	20275639_A_Colorado_ISC-1470_2025	2025.10.28	1.014	1	1	7	2.743	3	2	33
19296516_A_Croatia_10136RV_2023	20275637_A_Colorado_ISC-1507_2025	2025.11.14	1.026	1	1	7	5.772	6	5	27
19296516_A_Croatia_10136RV_2023	20275348_A_Florida_32_2025	2025.10.29	1.074	1	1	7	5.977	6	5	34
19296516_A_Croatia_10136RV_2023	20275683_A_New_York_NIRC-IS-1504_2025	2025.11.13	1.015	1	1	7	2.734	3	2	24
19296516_A_Croatia_10136RV_2023	20262326_A_Colorado_ISC-1494_2025	2025.11.11	1.032	1	1	13	3.791	4	3	44
19296516_A_Croatia_10136RV_2023	20261837_A_Alaska_82_2025	2025.10.20	1.026	1	1	7	2.775	3	2	24
19296516_A_Croatia_10136RV_2023	20278399_A_Catalonia_NSVH171794172_2025	2025.12.3	1.013	1	1	7	3.716	4	3	24
19296516_A_Croatia_10136RV_2023	20261953_A_Wisconsin_152_2025	2025.11.3	1.028	1	1	9	2.784	3	2	36
19296516_A_Croatia_10136RV_2023	20262725_A_Catalonia_NSVH161522720_2025	2025.11.19	1.034	1	1	13	3.795	4	3	44
19296516_A_Croatia_10136RV_2023	20261957_A_Minnesota_109_2025	2025.10.25	1.02	1	1	13	2.751	3	2	43
19296516_A_Croatia_10136RV_2023	20279652_A_Lisboa_706_2025	2025.11.2	1.003	1	1	2	2.694	3	2	7
19296516_A_Croatia_10136RV_2023	20280416_A_Severomorsk_RII-MH264749S_2025	2025.11.18	2.026	2	2	8	2.77	3	2	24
19296516_A_Croatia_10136RV_2023	20280435_A_Saint-Petersburg_RII-MH264958S_2025	2025.11.26	1.026	1	1	7	2.77	3	2	24
19296516_A_Croatia_10136RV_2023	20280566_A_Saint-Petersburg_RII-25-0699S_2025	2025.11.17	1.055	1	1	9	2.923	3	2	39
19296516_A_Croatia_10136RV_2023	20281628_A_Saskatchewan_SKFLU469190_2025	2025.11.20	2.029	2	2	10	2.786	3	2	36
EPI103320_A_Moscow_10_1999	CY000024_A_New_York_30_2003	2003.12.2	6.062	6	6	8	13.431	13	13	20
EPI103320_A_Moscow_10_1999	CY000040_A_New_York_33_2004	2004.1.9	5.062	5	5	9	11.429	11	11	18
EPI103320_A_Moscow_10_1999	CY000056_A_New_York_35_2003	2003.12.4	5.06	5	5	7	12.427	12	12	19
EPI103320_A_Moscow_10_1999	CY000104_A_New_York_54_2003	2003.12.10	5.06	5	5	7	11.429	11	11	18
EPI103320_A_Moscow_10_1999	CY000144_A_New_York_26_2003	2003.12.2	6.06	6	6	8	13.443	13	13	20
EPI103320_A_Moscow_10_1999	CY000216_A_New_York_91_2002	2002.1.17	3.062	3	3	5	10.373	10	10	17
EPI103320_A_Moscow_10_1999	CY000272_A_New_York_53_2003	2003.12.11	5.06	5	5	7	14.421	14	14	21
EPI103320_A_Moscow_10_1999	CY000352_A_New_York_15_2003	2003.11.12	5.062	5	5	7	14.421	14	14	21
EPI103320_A_Moscow_10_1999	CY000512_A_New_York_4_2003	2003.12.8	6.062	6	6	8	13.432	13	13	20
EPI103320_A_Moscow_10_1999	CY000552_A_New_York_115_2002	2002.2.7	3.062	3	3	5	10.375	10	10	17
EPI103320_A_Moscow_10_1999	CY000768_A_New_York_10_2004	2004.1.30	7.06	7	7	9	13.435	13	13	20
EPI103320_A_Moscow_10_1999	CY000872_A_New_York_193_2003	2003.2.19	6.071	6	6	9	11.459	11	11	31
EPI103320_A_Moscow_10_1999	CY000908_A_New_York_13_2003	2003.11.12	5.06	5	5	7	11.425	11	11	18
EPI103320_A_Moscow_10_1999	CY001036_A_New_York_6_2004	2004.1.6	6.06	6	6	8	13.435	13	13	20
EPI103320_A_Moscow_10_1999	CY001095_A_New_York_24_2003	2003.12.1	5.06	5	5	7	14.421	14	14	21
EPI103320_A_Moscow_10_1999	CY001196_A_New_York_18_2003	2003.12.1	5.06	5	5	7	11.427	11	11	18
EPI103320_A_Moscow_10_1999	CY001300_A_New_York_37_2003	2003.12.4	5.06	5	5	7	11.425	11	11	18
EPI103320_A_Moscow_10_1999	CY001559_A_New_York_215_2003	2003.4.22	5.058	5	5	7	10.441	10	10	17
EPI103320_A_Moscow_10_1999	CY002335_A_New_York_77_2001	2001.12.26	3.06	3	3	5	9.371	9	9	16
EPI103320_A_Moscow_10_1999	CY002351_A_New_York_272_2003	2003.11.28	5.06	5	5	7	12.425	12	12	19
EPI103320_A_Moscow_10_1999	CY003287_A_New_York_438_2000	2000.1.18	4.064	4	4	6	8.352	8	8	15
EPI103320_A_Moscow_10_1999	CY006386_A_New_York_467_2004	2004.9.17	6.032	6	5	10	12.321	12	10	18
EPI103320_A_Moscow_10_1999	CY009267_A_New_York_499_2004	2004.1.15	6.06	6	6	8	14.433	14	14	21
EPI103320_A_Moscow_10_1999	CY013812_A_New_York_C4_2002	2002.2.1	3.06	3	3	5	9.373	9	9	16
EPI103320_A_Moscow_10_1999	CY032968_A_Yucatan_844_2003	2003.3.19	4.238	4	3	7	12.254	12	9	17
EPI103320_A_Moscow_10_1999	CY038574_A_Hong_Kong_HKU2_2004	2004.2.13	5.06	5	5	7	13.48	13	13	20
EPI103320_A_Moscow_10_1999	CY038614_A_Hong_Kong_HKU19_2004	2004.6.1	5.234	5	3	8	13.287	13	11	18
EPI103320_A_Moscow_10_1999	CY038622_A_Hong_Kong_HKU20_2004	2004.6.15	5.232	5	3	8	11.301	11	9	16
EPI103320_A_Moscow_10_1999	CY038638_A_Hong_Kong_HKU29_2004	2004.7.21	6.232	6	4	9	14.289	14	12	19
EPI103320_A_Moscow_10_1999	CY038646_A_Hong_Kong_HKU31_2004	2004.7.30	5.232	5	3	8	13.281	13	11	18
EPI103320_A_Moscow_10_1999	CY038654_A_Hong_Kong_HKU34_2004	2004.8.18	5.232	5	3	8	12.283	12	10	17
EPI103320_A_Moscow_10_1999	CY038950_A_Hong_Kong_HKU4_2004	2004.3.1	5.232	5	3	8	12.473	12	10	19
EPI103320_A_Moscow_10_1999	CY038958_A_Hong_Kong_HKU6_2004	2004.3.6	5.01	5	4	9	13.321	13	11	19
EPI103320_A_Moscow_10_1999	CY038990_A_Hong_Kong_HKU14_2004	2004.4.16	5.032	5	4	9	12.319	12	10	18
EPI103320_A_Moscow_10_1999	CY038998_A_Hong_Kong_HKU15_2004	2004.4.23	4.03	4	3	8	12.323	12	10	18
EPI103320_A_Moscow_10_1999	CY039014_A_Hong_Kong_HKU21_2004	2004.6.19	7.232	7	5	10	15.289	15	13	21
EPI103320_A_Moscow_10_1999	CY039030_A_Hong_Kong_HKU25_2004	2004.7.7	5.232	5	3	8	13.281	13	11	18
EPI103320_A_Moscow_10_1999	CY039038_A_Hong_Kong_HKU30_2004	2004.7.22	5.232	5	3	8	15.289	15	13	20
EPI103320_A_Moscow_10_1999	CY039166_A_Hong_Kong_HKU5_2004	2004.3.4	6.06	6	6	8	12.436	12	12	19
EPI103320_A_Moscow_10_1999	CY039174_A_Hong_Kong_HKU24_2004	2004.7.5	6.032	6	5	10	12.323	12	10	18
EPI103320_A_Moscow_10_1999	CY039494_A_Hong_Kong_HKU1_2004	2004.2.10	4.03	4	3	8	12.303	12	10	18
EPI103320_A_Moscow_10_1999	CY039502_A_Hong_Kong_HKU32_2004	2004.8.2	6.232	6	4	9	13.281	13	11	18
EPI103320_A_Moscow_10_1999	CY040321_A_Hong_Kong_HKU38_2004	2004.9.23	5.232	5	3	8	11.303	11	9	16
EPI103320_A_Moscow_10_1999	CY043751_A_Hong_Kong_HKU28_2004	2004.7.17	6.232	6	4	9	13.291	13	11	18
EPI103320_A_Moscow_10_1999	CY088027_A_England_425_2003	2003.10.29	6.062	6	6	8	13.429	13	13	20
EPI103320_A_Moscow_10_1999	CY088035_A_England_438_2003	2003.11.12	3.065	3	3	6	12.477	12	12	32
EPI103320_A_Moscow_10_1999	CY088115_A_England_467_2003	2003.11.6	6.062	6	6	8	12.431	12	12	19
EPI103320_A_Moscow_10_1999	CY088131_A_Scotland_78_2003	2003.11.7	6.065	6	6	9	10.423	10	10	18
EPI103320_A_Moscow_10_1999	CY088139_A_Scotland_79_2003	2003.11.8	3.068	3	3	7	13.465	13	13	20
EPI103320_A_Moscow_10_1999	CY088187_A_England_944_2003	2003.11.17	6.062	6	6	8	13.429	13	13	20
