StrainName,vaccine_code,Year,Month,Day,Dom,Dom_prob,PB2_Nonsyn,PB1_Nonsyn,PA_Nonsyn,HA_Nonsyn,NP_Nonsyn,NA_Nonsyn,M_Nonsyn,NS_Nonsyn,PB2_Syn,PB1_Syn,PA_Syn,HA_Syn,NP_Syn,NA_Syn,M_Syn,NS_Syn
CY000872_A_New_York_193_2003,Mos99,2003,2,19,0,0,3.033370412,5.032,4.078,23.83327158,7,10.173,6.071,8,33.91434928,26.655,26.32,26.10967025,26.893,20.28,11.459,12.578
CY032968_A_Yucatan_844_2003,Mos99,2003,3,19,0,0.026676547,2.013348165,2.014,2.042,25.16746943,5,12.209,4.238,0,27.47497219,18.382,14.136,32.12374954,14.567,17.9,12.254,6.113
CY001559_A_New_York_215_2003,Mos99,2003,4,22,0,0,4.034482759,3.024,8.012,20.31900704,8,11.252,5.058,7,44.02447164,35.804,24.521,21.76843275,27.353,25.547,10.441,13.594
KJ855376_A_Mexico_DIF835_2003,Mos99,2003,7,4,0,0.106706187,3.013348165,3.014,3.042,26.35087069,5,12.207,5.236,0,31.4727475,21.4,17.149,33.16302334,11.537,19.922,13.261,5.111
CY088027_A_England_425_2003,Mos99,2003,10,29,0,0,7.027808676,3.024,9.013,28.34457206,9,11.181,6.062,6,42.75305895,35.637,24.415,35.14079289,27.529,28.635,13.429,7.574
CY107095_A_England_470_2003,Mos99,2003,11,5,0,0,4.027808676,3.022,9.013,27.341608,8,11.171,6.062,5,41.74638487,35.621,24.413,33.1367173,25.531,26.528,13.431,7.57
CY088115_A_England_467_2003,Mos99,2003,11,6,0,0,4.027808676,3.022,7.014,30.34234902,8,11.169,6.062,6,42.74638487,36.619,29.268,32.14116339,26.533,25.531,12.431,7.574
CY088131_A_Scotland_78_2003,Mos99,2003,11,7,0,0,3.042269188,4.066,9.013,27.34271953,9,11.175,6.065,6,43.84983315,34.761,24.415,35.14857355,26.535,26.687,10.423,8.574
CY088139_A_Scotland_79_2003,Mos99,2003,11,8,0,0,2.026696329,4.02,7.014,27.34864765,9,11.169,3.068,5,40.68409344,31.533,29.268,31.14672101,24.559,25.531,13.465,8.476
CY000352_A_New_York_15_2003,Mos99,2003,11,12,0,0,4.03003337,3.022,9.014,29.25750278,9,11.173,5.062,6,42.74860957,36.622,32.33,30.14375695,25.528,21.561,14.421,9.57
CY000908_A_New_York_13_2003,Mos99,2003,11,12,0,0,5.03003337,3.022,6.016,26.3412375,9,11.165,5.06,5,43.75083426,33.64,28.339,37.13894035,26.527,24.533,11.425,7.572
CY088035_A_England_438_2003,Mos99,2003,11,12,0,0,3.026696329,3.02,7.014,28.34864765,9,10.169,3.065,5,41.68409344,32.531,30.272,31.14746202,25.561,24.527,12.477,8.478
CY090956_A_South_Carolina_NHRC0002_2003,Mos99,2003,11,13,0,0,3.027808676,4.022,7.016,27.34197851,9,12.167,5.06,6,41.75305895,34.638,30.339,33.15264913,26.529,26.535,11.425,7.572
CY088187_A_England_944_2003,Mos99,2003,11,17,0,0,4.027808676,3.024,9.013,28.341608,9,11.175,6.062,6,41.74860957,35.637,24.415,34.13745832,28.529,28.629,13.429,7.574
CY107111_A_England_516_2003,Mos99,2003,11,20,0,0,2.026696329,3.02,11.014,29.34864765,10,11.181,3.068,5,40.68409344,33.533,32.272,31.14820304,25.561,28.635,14.459,8.476
CY107151_A_England_493_2003,Mos99,2003,11,23,0,0,5.027808676,3.022,8.014,29.34383105,9,11.169,6.062,5,44.74860957,37.623,32.266,32.14042238,25.535,24.539,12.433,7.568
CY088275_A_England_487_2003,Mos99,2003,11,24,0,0,4.027808676,3.024,8.014,28.341608,8,11.169,6.065,6,43.74638487,36.639,31.268,36.13782883,27.529,25.535,13.449,9.576
CY088291_A_England_491_2003,Mos99,2003,11,24,0,0,4.03003337,3.024,7.026,28.341608,8,11.169,6.062,6,41.74860957,37.645,30.266,34.13745832,27.529,24.533,13.429,8.574
CY088267_A_England_585_2003,Mos99,2003,11,25,0,0,5.024471635,3.022,7.014,28.35161171,8,11.169,5.06,6,29.13459399,33.648,32.27,36.18191923,26.535,24.535,12.426,8.572
CY088251_A_England_525_2003,Mos99,2003,11,27,0,0,5.027808676,3.022,9.013,27.341608,8,11.171,6.062,5,43.74638487,37.623,24.415,33.14560948,27.533,30.628,12.435,7.566
CY088323_A_England_508_2003,Mos99,2003,11,27,0,0,3.027808676,5.022,7.014,29.34420156,8,12.169,5.06,6,43.7753059,33.632,32.27,30.14597999,26.53,24.535,12.445,8.57
CY088379_A_England_532_2003,Mos99,2003,11,27,0,0,4.03003337,3.024,7.014,27.34234902,8,12.169,6.062,6,41.74860957,40.629,30.268,35.13597629,25.533,25.531,13.429,7.574
CY107167_A_England_532_2003,Mos99,2003,11,27,0,0,4.027808676,3.024,6.016,27.34234902,8,11.169,6.062,6,41.74638487,41.055,27.319,35.13597629,25.531,24.537,13.429,7.583
CY002351_A_New_York_272_2003,Mos99,2003,11,28,0,0,3.03003337,3.022,6.016,28.3412375,9,11.165,5.06,5,43.74860957,34.64,28.339,36.14190441,26.527,24.533,12.425,7.57
CY088339_A_England_957_2003,Mos99,2003,11,28,0,0,4.027808676,3.024,8.048,27.34234902,9,11.169,6.062,6,41.74860957,39.638,31.479,34.13894035,29.532,26.547,13.429,7.57
CY001095_A_New_York_24_2003,Mos99,2003,12,1,0,0,4.027808676,4.026,8.016,29.25750278,9,12.173,5.06,6,42.75083426,34.634,31.328,31.14375695,27.531,22.553,14.421,9.57
CY001196_A_New_York_18_2003,Mos99,2003,12,1,0,0,3.027808676,4.022,6.018,28.34271953,9,12.169,5.06,5,42.75305895,35.638,32.339,32.15376065,27.532,28.534,11.427,7.57
CY000024_A_New_York_30_2003,Mos99,2003,12,2,0,0,6.027808676,4.022,8.014,27.341608,8,12.169,6.062,5,42.75528365,37.625,30.268,33.1367173,26.531,25.527,13.431,7.572
CY000144_A_New_York_26_2003,Mos99,2003,12,2,0,0,3.027808676,4.022,7.016,29.34420156,9,11.173,6.06,5,41.76195773,34.628,31.343,30.14746202,26.528,22.559,13.443,9.57
CY000056_A_New_York_35_2003,Mos99,2003,12,4,0,0,3.027808676,4.022,6.016,29.34234902,9,12.167,5.06,5,42.77085651,36.642,29.339,32.14968507,25.533,24.537,12.427,7.579
CY001300_A_New_York_37_2003,Mos99,2003,12,4,0,0,3.03003337,3.022,6.016,27.3412375,9,11.167,5.06,5,43.74860957,34.64,28.339,37.13968136,26.527,24.535,11.425,7.572
CY088363_A_England_558_2003,Mos99,2003,12,5,1,0.776954428,6.017797553,3.012,7.014,31.34864765,7,12.169,4.03,0,25.33036707,21.7,29.266,34.15042608,15.213,25.533,12.297,6.118
CY092216_A_Georgia_NHRC0001_2003,Mos99,2003,12,5,0,0,3.027808676,3.022,8.016,27.34197851,9,12.167,5.06,5,42.75305895,33.638,36.326,32.15079659,27.529,25.537,11.427,7.57
CY000512_A_New_York_4_2003,Mos99,2003,12,8,0,0,5.027808676,3.022,9.014,27.341608,9,12.169,6.062,7,42.74638487,35.617,30.268,33.1367173,26.535,24.533,13.432,8.57
CY000104_A_New_York_54_2003,Mos99,2003,12,10,0,0,3.03003337,3.022,6.016,26.3412375,9,11.167,5.06,5,42.74638487,33.642,29.341,35.13968136,26.529,28.535,11.429,7.568
CY091468_A_California_NHRC0006_2003,Mos99,2003,12,10,0,0,3.027808676,4.022,6.018,29.25750278,8,11.173,5.062,6,40.74416018,35.629,28.339,33.14560948,26.532,21.561,14.421,9.57
CY000272_A_New_York_53_2003,Mos99,2003,12,11,0,0,3.027808676,4.024,9.016,29.25750278,9,11.173,5.06,6,40.74860957,35.626,31.328,31.14375695,25.533,22.553,14.421,9.57
CY088387_A_England_522_2003,Mos99,2003,12,12,0,0,4.027808676,3.022,9.013,27.341608,8,12.181,6.062,5,42.75083426,36.621,24.417,33.13745832,25.531,28.635,12.429,7.572
KJ855448_A_Mexico_DIF2662_2003,Mos99,2003,12,15,0,0,3.027808676,3.022,8.016,28.29158948,9,12.173,5.06,6,42.74638487,32.622,32.322,30.14523898,27.53,21.561,13.421,9.57
CY088403_A_England_547_2003,Mos99,2003,12,18,0,0,2.026696329,3.022,7.028,28.34938866,10,11.169,3.068,5,40.68965517,34.533,30.266,33.14672101,23.739,25.533,12.465,8.476
CY001036_A_New_York_6_2004,Mos99,2004,1,6,0,0,4.027808676,4.022,7.014,26.34420156,8,10.205,6.06,5,43.79087875,32.814,28.331,31.15968877,25.543,24.559,13.435,7.574
CY000040_A_New_York_33_2004,Mos99,2004,1,9,0,0,3.032258065,3.032,6.018,27.37754724,9,11.167,5.062,5,44.75750834,34.704,29.345,38.15413116,29.533,25.545,11.429,7.576
CY091124_A_Missouri_NHRC0002_2004,Mos99,2004,1,9,0,0,4.03003337,3.026,9.016,30.25898481,8,12.173,5.06,6,44.76751947,32.626,33.336,30.14820304,26.54,22.574,14.427,11.568
CY009267_A_New_York_499_2004,Mos99,2004,1,15,0,0,3.027808676,3.022,7.018,26.34420156,8,11.203,6.06,5,45.79087875,33.81,27.354,32.15857725,26.543,24.561,14.433,7.576
CY000768_A_New_York_10_2004,Mos99,2004,1,30,0,0,4.027808676,5.024,7.014,30.34271953,8,10.203,7.06,5,43.79087875,33.81,29.331,31.16265283,26.545,24.561,13.435,7.576
CY039494_A_Hong_Kong_HKU1_2004,Mos99,2004,2,10,0,0.075954057,4.022246941,2.018,1.028,29.34938866,7,15.321,4.03,2,29.35372636,23.724,20.411,33.15524268,14.233,22.328,12.303,5.115
CY038574_A_Hong_Kong_HKU2_2004,Mos99,2004,2,13,0,0,4.03003337,3.022,8.022,27.34864765,8,13.173,5.06,5,42.78754171,36.644,32.364,32.15079659,27.548,22.565,13.48,8.57
CY038950_A_Hong_Kong_HKU4_2004,Mos99,2004,3,1,0,0.002593553,3.013348165,4.016,4.055,33.35309374,6,14.243,5.232,4,28.4727475,25.485,25.276,29.18599481,15.576,21.958,12.473,6.128
CY039166_A_Hong_Kong_HKU5_2004,Mos99,2004,3,4,0,0,3.027808676,3.022,6.024,28.36309744,8,10.177,6.06,7,46.80422692,31.874,35.367,36.17006299,26.596,24.583,12.436,9.58
CY038958_A_Hong_Kong_HKU6_2004,Mos99,2004,3,6,0,0.084475732,3.020022247,3.018,1.026,29.35161171,7,15.319,5.01,0,25.34149055,20.88,22.407,35.15894776,17.235,20.321,13.321,5.113
CY038990_A_Hong_Kong_HKU14_2004,Mos99,2004,4,16,0,0.06928492,2.020022247,3.018,1.028,29.35012968,7,16.321,5.032,1,26.33147942,20.744,20.409,33.15524268,20.252,20.325,12.319,7.119
CY038998_A_Hong_Kong_HKU15_2004,Mos99,2004,4,23,0,0,2.020022247,3.012,1.028,29.34938866,7,16.324,4.03,0,29.35372636,22.723,25.432,35.16635791,15.233,21.329,12.323,5.12
CY038614_A_Hong_Kong_HKU19_2004,Mos99,2004,6,1,0,0,5.011123471,4.014,6.045,31.38977399,5,15.249,5.234,0,28.53170189,25.403,16.25,33.16413486,18.597,21.882,13.287,6.113
CY038622_A_Hong_Kong_HKU20_2004,Mos99,2004,6,15,1,0.681733976,4.011123471,4.014,5.051,31.38014079,6,16.201,5.232,0,30.51167964,28.407,16.268,31.19748055,18.601,20.745,11.301,5.119
CY039014_A_Hong_Kong_HKU21_2004,Mos99,2004,6,19,0,0,4.011123471,4.014,5.043,31.39051501,5,17.217,7.232,0,29.54060067,28.409,15.242,33.1656169,19.598,22.904,15.289,5.117
CY039174_A_Hong_Kong_HKU24_2004,Mos99,2004,7,5,0,0,2.020022247,4.012,2.03,28.35087069,7,15.323,6.032,1,30.35038932,21.719,24.426,36.15227862,17.233,25.336,12.323,5.117
CY039030_A_Hong_Kong_HKU25_2004,Mos99,2004,7,7,0,0,4.011123471,4.014,5.043,33.37606521,6,16.197,5.232,0,29.50723026,25.403,17.232,33.20081512,19.597,21.757,13.281,5.118
CY043751_A_Hong_Kong_HKU28_2004,Mos99,2004,7,17,0,0,4.011123471,4.02,5.043,31.39051501,5,16.659,6.232,2,29.54505006,30.412,17.244,34.19785106,19.891,20.932,13.291,6.121
CY038638_A_Hong_Kong_HKU29_2004,Mos99,2004,7,21,0,0,4.011123471,4.02,5.051,31.39051501,5,16.645,6.232,2,29.54505006,30.412,17.264,34.19711004,19.889,21.894,14.289,6.121
CY039038_A_Hong_Kong_HKU30_2004,Mos99,2004,7,22,0,0,4.013348165,4.014,5.043,33.39199704,5,16.263,5.232,0,29.54060067,29.409,16.248,34.17302705,17.598,21.93,15.289,5.114
CY038646_A_Hong_Kong_HKU31_2004,Mos99,2004,7,30,0,0,4.011123471,4.014,6.045,32.3756947,6,16.203,5.232,1,29.50723026,26.408,17.236,32.2000741,19.597,22.743,13.281,6.115
CY039502_A_Hong_Kong_HKU32_2004,Mos99,2004,8,2,0,0,4.011123471,8.014,5.045,32.3756947,7,17.197,6.232,0,29.50723026,26.413,17.236,32.2000741,19.597,22.743,13.281,5.117
CY038654_A_Hong_Kong_HKU34_2004,Mos99,2004,8,18,1,0.600222305,4.011123471,4.014,5.043,33.38088181,6,16.197,5.232,1,29.50500556,27.403,18.232,31.19970359,19.601,21.745,12.283,6.131
EPI367109_A_California_7_2004,Mos99,2004,9,16,1,1,2.020022247,2.016,4.022,34.3512412,10,16.197,4.03,0,33.34482759,21.692,26.407,35.16042979,20.24,24.323,11.323,5.113
CY006386_A_New_York_467_2004,Mos99,2004,9,17,1,0.999629492,4.015572859,4.012,3.022,31.35012968,9,17.197,6.032,0,28.33926585,22.697,24.399,36.16154131,17.23,21.336,12.321,6.119
CY040321_A_Hong_Kong_HKU38_2004,Mos99,2004,9,23,1,0.636532049,4.011123471,5.016,5.049,32.38088181,6,16.199,5.232,3,31.50723026,27.437,15.258,33.20192664,19.606,21.743,11.303,6.129
CY002719_A_New_York_319_2004,Fuj02,2004,11,8,0,0,3.008898776,2.008,8.018,16.20748425,5.575,11.54,4.016,5.019,20.243604,17.061,18.143,16.43349389,17.492,17.92,12.989,4.96
CY003671_A_New_York_471_2004,Fuj02,2004,11,8,0,0.008521675,6.011123471,3.006,6.018,14.2097073,6.575,12.542,6.02,6.017,17.2458287,17.061,18.143,17.43571693,16.488,17.925,11.994,4.954
CY039054_A_Hong_Kong_HKU40_2004,Fuj02,2004,11,23,0,0,3.002224694,2.004,6.011,16.2389774,1.496,11.54,1.891,5.029,13.06451613,17.075,6.128,12.47165617,14.732,18.336,3.862,7.967
CY112996_A_Netherlands_132_2004,Fuj02,2004,12,4,1,0.55168581,2.011123471,3.008,6.018,17.21193034,5.575,12.54,3.013,4.017,21.25139043,16.073,20.151,17.44275658,15.5,15.916,10.988,8.553
CY002791_A_New_York_232_2004,Fuj02,2004,12,9,0,0,2.011123471,1.006,5.018,15.20674324,5.575,14.543,4.019,4.015,17.24137931,16.061,20.143,15.42978881,17.49,19.94,13.982,5.951
CY002447_A_New_York_365_2004,Fuj02,2004,12,16,1,0.571322712,4.008898776,3.008,6.024,16.20674324,5.575,11.54,5.016,7.031,20.26140156,16.073,24.17,13.43201186,18.518,22.946,14.359,7.969
CY003079_A_New_York_123_2004,Fuj02,2004,12,16,0,0,3.011123471,2.006,5.018,16.20748425,5.575,14.543,4.021,4.017,19.24137931,17.065,19.143,15.42978881,17.491,19.938,13.982,5.958
CY002199_A_New_York_366_2004,Fuj02,2004,12,20,0,0,2.011123471,2.006,7.018,15.20896628,5.575,14.54,4.015,6.021,23.24805339,16.059,19.153,20.45646536,17.512,18.95,13.98,5.963
CY002599_A_New_York_377_2004,Fuj02,2004,12,20,0,0,3.011123471,1.006,5.018,16.20748425,5.575,14.543,7.015,4.017,19.23915462,17.065,19.143,15.43052983,18.491,18.944,12.996,5.958
CY002231_A_New_York_372_2004,Fuj02,2004,12,22,0,0,2.011123471,2.006,8.018,15.20822527,5.575,14.54,4.015,5.017,19.25472747,13.057,19.141,19.44535013,17.494,19.932,13.98,6.956
CY019156_A_New_York_900_2004,Fuj02,2004,12,22,0,0,2.011123471,2.006,8.018,15.20822527,5.575,14.54,4.015,5.017,19.25472747,13.057,19.141,19.44535013,17.494,19.932,13.98,6.956
CY019164_A_New_York_900_2004,Fuj02,2004,12,22,0,0,2.011123471,2.006,8.018,15.20822527,5.575,14.54,4.015,5.017,19.25472747,13.057,19.141,19.44535013,17.494,19.933,13.98,6.956
CY019180_A_New_York_905_2004,Fuj02,2004,12,27,0,0,2.011123471,1.006,5.018,15.20674324,5.575,14.543,4.021,4.017,17.24137931,16.061,19.143,16.43127084,17.491,18.94,12.982,6.954
CY019260_A_New_York_908_2004,Fuj02,2004,12,27,0,0,2.011123471,1.006,5.018,15.20674324,5.575,14.543,4.022,4.017,17.24137931,16.061,19.143,16.43201186,17.491,18.942,12.989,6.954
CY002255_A_New_York_381_2004,Fuj02,2004,12,28,0,0,2.011123471,1.006,5.018,15.20674324,5.575,14.543,5.016,4.019,17.24137931,16.061,19.143,16.43201186,17.491,18.94,13.992,7.954
CY002263_A_New_York_383_2004,Fuj02,2004,12,29,0,0,1.011123471,1.008,6.018,15.20748425,7.577,11.54,3.014,4.017,21.24471635,16.059,24.153,15.4294183,17.498,20.916,11.997,3.944
EPI502253_A_Wisconsin_67_2005,Fuj02,2005,1,1,0,0.334197851,1.011123471,4.142,8.009,21.22675065,1.496,13.542,1.893,4.017,24.2625139,19.087,13.122,19.463505,16.732,17.347,3.867,3.948
CY038686_A_Hong_Kong_HKU42_2005,Fuj02,2005,1,6,0,0,3.002224694,3.013,6.009,16.24120044,1.498,11.574,2.894,6.018,12.08008899,20.121,6.154,11.4731382,14.913,17.348,6.878,3.953
CY019300_A_New_York_913_2005,Fuj02,2005,1,10,0,0,2.013348165,1.006,7.018,15.21415339,5.575,14.543,4.022,4.017,19.24137931,17.065,20.151,16.43497592,18.491,19.948,12.993,5.964
CY019308_A_New_York_918_2005,Fuj02,2005,1,10,0,0,2.013348165,1.006,5.018,15.21267136,5.575,14.543,4.021,4.017,19.24137931,17.065,20.153,15.4342349,18.49,19.95,13.987,5.964
CY019324_A_New_York_918_2005,Fuj02,2005,1,10,0,0,2.013348165,1.006,5.018,15.21267136,5.575,14.543,4.021,4.017,19.24137931,17.065,20.155,15.43349389,18.49,19.944,13.987,5.966
CY020540_A_New_York_913_2005,Fuj02,2005,1,10,0,0,2.013348165,1.006,7.018,15.21415339,5.575,14.543,4.022,4.017,19.24137931,17.065,20.151,16.43497592,18.491,19.95,12.989,5.966
CY002007_A_New_York_359_2005,Fuj02,2005,1,17,0,0.302334198,2.011123471,1.006,7.018,14.21044831,5.575,12.542,3.016,4.019,21.27141268,16.225,17.175,14.47054465,15.5,18.93,13.009,3.946
CY002015_A_New_York_361_2005,Fuj02,2005,2,2,0,0,2.011123471,1.006,5.018,16.21341237,5.575,14.543,4.022,4.017,18.24805339,17.127,19.159,16.43645795,17.497,18.958,12.991,6.956
CY091436_A_California_NHRC0002_2005,Fuj02,2005,2,7,1,1,2.008898776,1.014,7.048,18.41793257,5.575,11.668,3.015,5.025,17.25583982,21.113,22.25,15.46535754,15.493,18.93,11.998,6.956
CY003647_A_New_York_463_2005,Fuj02,2005,2,9,0,0,3.011123471,2.008,7.022,17.20822527,5.583,12.54,4.015,5.021,19.26807564,17.067,20.167,18.44312708,18.541,16.93,12.986,4.96
CY090996_A_South_Carolina_NHRC0001_2005,Fuj02,2005,2,11,0,0,1.011123471,2.012,7.018,16.22008151,7.577,11.54,4.02,6.024,23.25806452,19.095,20.165,16.44423861,19.514,22.922,12.003,3.971
CY091140_A_Texas_NHRC0001_2005,Fuj02,2005,2,16,0,0,2.015572859,3.01,6.02,17.21341237,5.575,13.544,5.016,7.037,20.3192436,17.129,22.173,17.45572434,16.504,17,15.167,10.994
CY002463_A_New_York_373_2005,Fuj02,2005,2,22,0,0,1.015572859,2.008,4.036,14.21415339,5.577,14.54,3.018,4.019,20.27697442,18.177,18.181,18.48647647,20.77,18.956,11.985,3.942
CY002079_A_New_York_396_2005,Fuj02,2005,3,4,0,0,2.011123471,1.008,6.024,14.20822527,5.577,11.544,7.02,7.028,19.30812013,17.087,20.153,15.44164505,18.504,17.997,13.055,4.989
CY039062_A_Hong_Kong_HKU45_2005,Fuj02,2005,3,7,0,0,1.015572859,0.032,4.022,14.21415339,5.575,13.678,3.018,6.017,20.26918799,21.1,20.183,18.46646906,17.742,17.954,11.981,3.939
CY006091_A_New_York_465_2005,Fuj02,2005,3,8,0,0,4.015572859,1.006,5.02,16.20822527,5.575,14.543,4.022,4.017,20.2458287,20.077,20.151,15.4342349,17.497,18.96,12.991,5.964
CY039070_A_Hong_Kong_HKU47_2005,Fuj02,2005,3,19,0,0.413856984,1.008898776,2.138,7.003,18.21600593,1.496,12.54,1.893,4.019,24.26807564,18.076,7.116,19.45461282,15.734,17.339,3.867,3.944
CY091012_A_Illinois_NHRC0001_2005,Fuj02,2005,4,6,0,0,1.011123471,1.014,7.018,16.22193405,6.583,13.54,4.02,4.019,24.25583982,20.087,22.161,16.43942201,22.513,20.931,11.001,5.949
CY040329_A_Hong_Kong_HKU52_2005,Fuj02,2005,4,16,0,0,3.008898776,1.138,7.003,18.21600593,1.496,12.542,1.893,4.017,20.2647386,18.077,8.422,19.31493146,13.736,18.349,3.863,3.948
CY039214_A_Hong_Kong_HKU58_2005,Fuj02,2005,5,5,0,0.010003705,1.008898776,2.14,8.003,17.21600593,1.498,12.542,1.893,4.017,21.26028921,20.081,8.118,21.45572434,15.736,16.341,4.863,3.948
CY039230_A_Hong_Kong_HKU61_2005,Fuj02,2005,5,11,0,0.013708781,2.008898776,1.139,7.003,17.21674694,1.498,13.54,1.893,4.017,20.2625139,17.069,8.116,20.4538718,16.73,17.351,3.869,3.948
CY038702_A_Hong_Kong_HKU62_2005,Fuj02,2005,5,13,0,0.316413486,1.008898776,1.138,7.003,19.21896999,1.496,12.54,1.891,4.015,21.25361513,18.102,8.116,23.46721008,16.742,19.347,5.864,3.943
CY039238_A_Hong_Kong_HKU63_2005,Fuj02,2005,5,14,0,0.045572434,2.008898776,2.138,8.005,18.21600593,1.498,12.542,2.893,5.021,21.2625139,17.067,8.41,20.49685069,14.735,17.337,4.871,5.958
CY038710_A_Hong_Kong_HKU65_2005,Fuj02,2005,5,17,0,0.456835865,2.008898776,3.138,7.003,17.21600593,1.496,13.54,1.893,4.025,23.26028921,17.072,7.114,22.4538718,13.732,16.341,3.869,3.948
CY038718_A_Hong_Kong_HKU67_2005,Fuj02,2005,5,23,1,0.975175991,1.008898776,4.138,7.003,17.21674694,1.496,12.54,1.895,4.023,22.2625139,17.074,11.135,19.45683587,15.738,17.338,4.863,3.948
CY038734_A_Hong_Kong_HKU69_2005,Fuj02,2005,5,27,0,0.180807707,2.008898776,1.138,8.003,17.21748796,1.496,12.54,1.891,4.025,24.25583982,17.081,8.12,21.45757688,15.735,16.341,3.866,4.952
CY038742_A_Hong_Kong_HKU70_2005,Fuj02,2005,5,30,0,0.412745461,2.011123471,2.14,8.005,18.21674694,1.496,13.541,1.891,6.019,22.26028921,18.085,9.127,21.46054094,14.736,16.339,3.866,3.951
CY043767_A_Hong_Kong_HKU72_2005,Fuj02,2005,6,1,0,0,2.011123471,1.138,7.003,18.21600593,1.496,13.542,1.893,4.021,21.2625139,19.079,8.419,20.30900333,15.732,19.345,5.876,3.954
CY044404_A_Hong_Kong_HKU73_2005,Fuj02,2005,6,2,0,0.45757688,4.004449388,1.14,7.003,18.21674694,2.496,13.54,1.893,4.019,14.08120133,18.068,8.116,21.45979993,13.732,16.343,3.865,4.946
CY091316_A_Hong_Kong_NHRC0001_2005,Fuj02,2005,6,15,0,0.477213783,2.008898776,1.144,7.003,18.22008151,1.496,12.54,1.893,5.019,24.31145717,17.086,9.118,24.4683216,15.738,16.339,4.865,4.952
CY040345_A_Hong_Kong_HKU75_2005,Fuj02,2005,6,17,0,0.454983327,2.008898776,2.138,7.003,18.21600593,1.498,12.54,1.893,8.017,21.25583982,17.065,9.118,22.46165246,17.744,17.345,3.865,5.263
CY040353_A_Hong_Kong_HKU76_2005,Fuj02,2005,6,21,0,0.425713227,2.011123471,3.14,7.005,18.21748796,1.496,13.541,2.893,6.023,23.26028921,17.068,10.119,20.45609485,15.732,17.337,3.867,5.955
CY040361_A_Hong_Kong_HKU77_2005,Fuj02,2005,6,29,0,0.411633938,1.011123471,1.14,7.003,17.21674694,4.496,13.584,1.891,5.017,24.25917686,19.075,7.118,19.45683587,13.736,19.332,3.864,4.952
CY043775_A_Hong_Kong_HKU78_2005,Fuj02,2005,7,9,1,0.533530937,1.008898776,1.138,7.003,18.21674694,1.496,14.54,1.893,4.017,22.25361513,22.065,9.122,19.45238977,15.732,17.341,3.867,4.954
CY038758_A_Hong_Kong_HKU79_2005,Fuj02,2005,7,16,0,0.433493887,1.008898776,1.138,7.005,17.21526491,1.496,13.542,1.893,4.021,24.27474972,19.109,10.119,21.45461282,17.751,17.341,5.869,7.95
KJ855424_A_Mexico_QUE2270_2005,Fuj02,2005,8,11,0,0.483512412,2.008898776,2.138,8.005,20.21526491,1.496,15.54,2.893,6.023,26.2647386,18.079,8.122,20.45238977,17.738,16.343,3.865,4.954
CY100575_A_Mexico_InDRE2246_2005,Fuj02,2005,9,11,0,0.080400148,2.011123471,2.188,7.003,17.21748796,1.498,13.542,1.893,5.021,27.2625139,18.222,12.132,21.31270841,15.734,17.347,3.865,3.952
